"product_id","product_url","product_name","machine_type","model","brand","power","capacity","price","min_order","supplier_name","supplier_type","rating","years_in_business","city","state","delivery_time","warranty","platform","scrape_date","data_inserted"
"1601463878675","https://www.alibaba.com/product-detail/_1601463878675.html","Tck46 Full-Auto High Precision CNC Lathe Machine for Metal","Horizontal","TCK46","HR","7.5KW","Max. length of workpiece: 450mm","$13,900 for 1-4 sets, $12,900 for >= 5 sets","1 set","Shandong HR Machinery Co., Ltd.","Multispecialty Supplier","5.0 (based on 3 reviews)","3 years","Jinan","Shandong","14 days for 1 set, 15 days for 2-5 sets, to be negotiated for more than 5 sets","2 Years","Alibaba","2026-03-09","2026-03-09 09:18:38.293454"
"1601699902271","https://www.alibaba.com/product-detail/_1601699902271.html","DLT-40-SNT","Pipe Production Line","DLT-40-SNT","FSZHONGYONG","6000 W","15.9~54.0 mm (OD range)","$185,000 for 1 set | $184,999.98 for 2 sets","1 set","Foshan Zhongyong Automation Equipment Co, Ltd.","Custom Manufacturer","No reviews yet","3 years","Foshan","Guangdong","45 days for 1 set | 60 days for 2 sets | >2 sets: Negotiable","1 Year","Alibaba","2026-03-09","2026-03-09 09:19:10.321211"
"1600116617909","https://www.alibaba.com/product-detail/_1600116617909.html","Hot Selling Custom Manual Metal Lathe C6240 C6140","Horizontal","CA6240B/1500","FINETECH","7.5 kW (10 HP)","Max. length of workpiece: 750, 1000, 1500, 2000, 3000 mm; Max. weight of workpiece: 800 kg","$6,000 - $6,500","1 set","Tengzhou Finetech Machinery Co., Ltd.","Manufacturer, Trading Company","1 year on Alibaba.com","1 year","Tengzhou","Shandong","30 days for 1 set; To be negotiated for more than 1 set","1 Year","Alibaba","2026-03-09","2026-03-09 09:19:46.951751"
"62094252684","https://www.alibaba.com/product-detail/_62094252684.html","High Capacity Rice Color Sorter Rice Separation Machine","Color Sorter","TCS Series","Techik","2.0 - 4.2 kW (depending on model)","2-11 tons/hour (depending on model)","$40,000 for 1 unit, $35,000 for 2 or more units","1 unit","Techik Instrument (Shanghai) Co., Ltd.","Custom Manufacturer","5.0 (based on 3 reviews)","17 years","Shanghai","Shanghai","30 days for 1 unit, negotiable for more","One Year","Alibaba","2026-03-09","2026-03-09 09:20:29.922284"
"1601221164230","https://www.alibaba.com/product-detail/_1601221164230.html","Industrial Date Coding Marking Machine","Fiber Laser",NULL,"QIANXUN","20W/30W/50W/100W","10-15 kg/h","$1,080 for 1-4 sets, $1,050 for 5-49 sets, $950 for 50+ sets","1 set","Zhengzhou Qianxun Machinery Co., Ltd.","Manufacturer, Trading Company","4.8 (based on 32 reviews)","6 years","Zhengzhou","Henan","7 days for 1-50 sets, to be negotiated for more than 50 sets","1 Year","Alibaba","2026-03-09","2026-03-09 09:22:22.816818"
"1600425292251","https://www.alibaba.com/product-detail/_1600425292251.html","China Full Automatic 1000Ton Hot Forging Hydraulic Press","Hot Forging Hydraulic Press","YHA3","YIHUI","31 kW","1000 Ton","£60,810.08 - £64,610.71","1 piece","Dongguan Yihui Hydraulic Machinery Co., Ltd.","Custom Manufacturer","11 years on Alibaba","11 years","Dongguan","Guangdong","1-30 pieces: 35 days | >30 pieces: Negotiable","1 Year","Alibaba","2026-03-09","2026-03-09 09:22:58.632956"
"1601144210208","https://www.alibaba.com/product-detail/_1601144210208.html","TIJ","Inkjet Printer","T260E","DOCOD","30 Volts, 3 Amps DC output","Print height of 1-12.7mm/1-25.4mm","£149.75 - £224.24","1 set","Guangzhou Docod Precision Group Limited","Custom Manufacturer","4.9","11 years","Guangzhou","Guangdong","16 days for 1 set, to be negotiated for more","1 Year","Alibaba","2026-03-09","2026-03-09 09:23:38.556432"
"1600937659314","https://www.alibaba.com/product-detail/_1600937659314.html","Plastic Recycling Machine Plastic Bottle Hot Wash Recycling Line","Plastic Recycling Granulating","BXA-1000, BXA-2000, BXA-3000, BXA-5000","BOXIN","210-260 kW","500-5000 kg/h","$44,000 for 1 unit | $30,000 for 2 or more units","1 unit","Zhangjiagang Boxin Machinery Co., Ltd.","Custom Manufacturer","17 years on Alibaba","17 years","Suzhou","Jiangsu","90 days for 1 unit | 181 days for 2-10 units | To be negotiated for more than 10 units","1 Year","Alibaba","2026-03-09","2026-03-09 09:24:14.089772"
"1601574790084","https://www.alibaba.com/product-detail/_1601574790084.html","EP-1808 Three Axis Iron Plate Sheet Bending High-end CNC Control System Factory Made Sheet Metal Bending Machine","Synchronized","EP-1808","ERSM","7.5 kW","180 KN","$13,200 for 1 set, $12,800 for 2-4 sets, $12,000 for 5 or more sets","1 set","Rsm Machinery Co., Ltd.","Trading Company","5.0 (based on 324 reviews)","10 years","Jiangsu","China","15 days for 1 set, to be negotiated for more than 1 set","1 Year","Alibaba","2026-03-09","2026-03-09 09:25:16.306678"
"1601286264052","https://www.alibaba.com/product-detail/_1601286264052.html","1000kg 3 in 1 Multifunctional Crushed Plastic Scrap China Plastic Recycling Machinery","Granulating Production Line","SJ100","Mingxin","90 kW","300-1000 kg/h","$63,500 - $64,800","1 set","Jiangxi Mingxin Metallurgy Equipment Co., Ltd.","Custom Manufacturer","17 years on Alibaba","17 years","Ganzhou","Jiangxi","1 - 1 set: 20 days | 2 - 10 sets: 35 days | > 10 sets: To be negotiated","1 Year","Alibaba","2026-03-09","2026-03-09 09:25:54.863812"
